authors,pubdate,title
"Frederick Phillips Brooks","1995-01-15T00:00:00-05:00","The Mythical Man-Month: Essays on Software Engineering"
"Martin Fowler & Kent Beck","1999-07-08T00:00:00-05:00","Refactoring: Improving the Design of Existing Code"
"Kent Beck","2003-12-15T00:00:00-05:00","Test-Driven Development: By Example"
"Kent Beck & Cynthia Andres","2004-11-26T00:00:00-05:00","Extreme Programming Explained: Embrace Change"
"Michael C. Feathers","2004-01-15T00:00:00-05:00","Working Effectively With Legacy Code"
"Chad Pytel & Tammer Saleh","2010-11-09T00:00:00-05:00","Rails Antipatterns: Best Practice Ruby on Rails Refactoring"
"Mark Summerfield","2009-11-22T00:00:00-05:00","Programming in Python 3: A Complete Introduction to the Python Language"
"Federico Biancuzzi & Chromatic","2009-04-06T00:00:00-05:00","Masterminds of Programming: Conversations With the Creators of Major Programming Languages (Theory in Practice (O'Reilly))"
"David A. Black","2014-07-03T00:00:00-05:00","The Well-Grounded Rubyist"
"Sam Ruby & David Thomas & David Heinemeier Hansson","2013-06-15T00:00:00-05:00","Agile Web Development With Rails 4"
"Andrew Hunt","1999-10-30T00:00:00-05:00","The Pragmatic Programmer: From Journeyman to Master"
"Jeff Sutherland","2014-09-29T00:00:00-05:00","Scrum: The Art of Doing Twice the Work in Half the Time"
"Kenneth S. Rubin","2012-08-05T00:00:00-05:00","Essential Scrum: A Practical Guide to the Most Popular Agile Process"
"Sandi Metz","2012-03-15T00:00:00-05:00","Practical Object-Oriented Design in Ruby: An Agile Primer"
"Gene Kim & Kevin Behr & George Spafford","2014-10-15T00:00:00-05:00","The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win"
"Dave Hoover & Adewale Oshineye","2009-10-09T00:00:00-05:00","Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman"
"Miran Lipovača","2011-12-15T00:00:00-05:00","Learn You a Haskell for Great Good!: A Beginner's Guide"
"Daniel Kahneman","2011-10-25T00:00:00-05:00","Thinking, Fast and Slow"
"Jon Duckett","2014-06-29T00:00:00-05:00","JavaScript and JQuery: Interactive Front-End Web Development"
"John Z. Sonmez","2014-12-29T00:00:00-05:00","Soft Skills: The Software Developer's Life Manual"
"Jon Duckett","2011-11-08T00:00:00-05:00","HTML and CSS: Design and Build Websites"
"Jay Fields & Shane Harvie & Martin Fowler","2009-10-25T00:00:00-05:00","Refactoring: Ruby Edition: Ruby Edition (Addison-Wesley Professional Ruby)"
"Dale Carnegie","2010-09-29T00:00:00-05:00","How to Win Friends and Influence People"
"David Herman","2012-11-26T00:00:00-05:00","Effective JavaScript: 68 Specific Ways to Harness the Power of JavaScript (Effective Software Development Series)"
"Jez Humble & David Farley","2010-07-15T00:00:00-05:00","Continuous Delivery: Reliable Software Releases Through Build, Test, and Deployment Automation"
"Sam Newman","2015-02-02T00:00:00-05:00","Building Microservices: Designing Fine-Grained Systems"
"Mohammed Musthafa Soukath Ali","2015-11-25T00:00:00-05:00","Scrum Narrative and PSM Exam Guide: All-in-one Guide for Professional Scrum Master (PSM 1) Certificate Assessment Preparation"
"Tom Demarco & Timothy R. Lister","2013-01-15T00:00:00-05:00","Peopleware: Productive Projects and Teams"
"Henrik Kniberg & Mattias Skarin","2010-02-15T00:00:00-05:00","Kanban and Scrum - Making the Most of Both"
"Esther Derby & Diana Larsen","2006-04-15T00:00:00-05:00","Agile Retrospectives: Making Good Teams Great"
"Alan Weiss","2009-02-13T19:21:39-05:00","Getting Started in Consulting"
"Alan Weiss","2008-09-02T00:00:00-05:00","Value-Based Fees: How to Charge - and Get - What You're Worth"
"Alan Weiss","2011-01-07T00:00:00-05:00","Million Dollar Coaching: Build a World-Class Practice by Helping Others Succeed"
"John Kotter & Holger Rathgeber","2013-07-25T00:00:00-05:00","Our Iceberg is Melting: Changing and Succeeding Under Any Conditions"
"John P. Kotter","2012-10-23T00:00:00-05:00","Leading Change, With a New Preface by the Author"
